"tinh","huyen","xa","diaban","hoso","m4b31ma","m4b31c3","m4b31c4","m4b31c5","m4b32c7","m4b32c8","m4b32c9","m4b32c10","m4b32c11","m4b32c12","m4b32c13","m4b32c14","m4b32c15","m4b32c16","m4b32c17"
"411","07","05","018",14,"Cµy xíi, lµm ®Êt",2,640,1280,30,10,0,0,90,0,0,0,0,0,130
"411","09","09","006",13,"Tuèt lóa, s¬ chÕ SP",2,3000,6000,0,0,1000,600,0,0,0,0,0,0,1600
"411","09","09","006",15,"DV kh¸c",12,3000,36000,0,200,960,0,0,0,0,0,0,0,1160
"411","11","07","013",14,"Tuèt lóa, s¬ chÕ SP",2,4000,8000,200,200,3700,0,150,0,0,0,0,0,4250
"411","11","13","002",14,"Cµy xíi, lµm ®Êt",3,7800,23400,500,350,5650,150,1500,0,0,0,0,0,8150
"411","13","33","004",15,"Cµy xíi, lµm ®Êt",3,4000,12000,0,50,3600,200,500,0,0,0,0,100,4450
"411","13","33","004",15,"Tuèt lóa, s¬ chÕ SP",3,2700,8100,0,20,2600,100,100,0,0,0,0,50,2870
"501","11","01","017",13,"Tuèt lóa, s¬ chÕ SP",2,420,840,0,0,70,150,0,0,0,0,0,0,220
"501","11","23","018",13,"Cµy xíi, lµm ®Êt",2,400,800,0,0,0,0,250,0,0,0,0,0,250
"503","05","25","006",14,"Cµy xíi, lµm ®Êt",2,500,1000,0,170,0,50,500,0,0,0,0,80,800
"503","07","01","030",15,"Cµy xíi, lµm ®Êt",2,1500,3000,900,15,0,0,0,0,0,0,0,0,915
"503","09","05","021",13,"Cµy xíi, lµm ®Êt",3,800,2400,300,100,0,200,300,0,0,0,0,0,900
"503","09","11","015",15,"Cµy xíi, lµm ®Êt",3,3600,10800,640,50,700,150,800,0,0,0,0,0,2340
"503","09","19","028",14,"Cµy xíi, lµm ®Êt",2,4800,9600,0,120,3450,550,600,0,0,0,0,0,4720
"503","11","07","012",13,"Cµy xíi, lµm ®Êt",1,300,300,0,20,0,10,30,0,0,0,0,0,60
"503","15","29","012",13,"Cµy xíi, lµm ®Êt",2,450,900,0,0,0,40,0,0,0,120,0,0,160
"503","17","09","017",13,"Cµy xíi, lµm ®Êt",3,300,900,0,70,0,0,0,0,0,0,0,0,70
"503","17","15","010",13,"Cµy xíi, lµm ®Êt",4,360,1440,0,200,0,0,150,0,0,0,0,0,350
"503","17","21","019",13,"DV kh¸c",11,500,5500,1150,100,0,0,300,0,0,0,0,0,1550
"503","17","25","006",14,"Cµy xíi, lµm ®Êt",4,500,2000,0,150,0,0,400,0,0,0,0,0,550
"503","21","03","005",15,"Cµy xíi, lµm ®Êt",2,1800,3600,0,80,0,0,360,0,0,0,0,0,440
"503","27","25","004",15,"Cµy xíi, lµm ®Êt",5,280,1400,70,35,0,0,0,0,0,0,0,0,105
"505","05","17","005",13,"Cµy xíi, lµm ®Êt",2,1500,3000,0,100,100,100,100,0,0,0,0,0,400
"505","05","17","005",13,"Tuèt lóa, s¬ chÕ SP",2,1800,3600,0,0,800,200,50,0,0,0,0,50,1100
"505","23","07","002",19,"Cµy xíi, lµm ®Êt",6,1050,6300,0,100,2035,500,200,0,0,0,0,0,2835
"507","05","07","004",13,"Tuèt lóa, s¬ chÕ SP",1,800,800,0,5,100,10,170,0,0,0,0,0,285
"507","05","13","024",15,"Tuèt lóa, s¬ chÕ SP",4,440,1760,440,0,0,0,0,0,0,0,0,0,440
"507","05","29","005",15,"Tuèt lóa, s¬ chÕ SP",3,1500,4500,150,420,525,45,1200,0,0,0,0,0,2340
"507","07","15","009",13,"Cµy xíi, lµm ®Êt",2,1670,3340,100,30,840,70,500,0,0,0,0,0,1540
"507","09","23","003",15,"Cµy xíi, lµm ®Êt",3,1750,5250,0,0,500,150,750,0,0,0,0,100,1500
"507","19","15","003",15,"Cµy xíi, lµm ®Êt",5,1947,9735,240,85,3150,340,935,0,0,0,0,25,4775
"509","03","21","006",19,"Cµy xíi, lµm ®Êt",2,1000,2000,0,50,0,0,0,0,0,0,0,0,50
"509","05","11","003",15,"Cµy xíi, lµm ®Êt",2,700,1400,0,100,0,0,0,0,0,0,0,0,100
"509","07","15","006",15,"Cµy xíi, lµm ®Êt",3,300,900,100,0,0,0,150,0,0,0,0,0,250
"509","11","09","004",14,"Cµy xíi, lµm ®Êt",2,200,400,100,0,0,0,50,0,0,0,0,0,150
"509","11","09","004",14,"Tuèt lóa, s¬ chÕ SP",2,1700,3400,50,0,240,50,100,0,0,0,0,0,440
"509","13","01","007",15,"Cµy xíi, lµm ®Êt",3,8000,24000,6000,0,0,2200,1000,0,1800,0,0,0,11000
"511","02","37","003",13,"Cµy xíi, lµm ®Êt",12,850,10200,0,0,0,30,1000,0,0,0,0,150,1180
"511","07","25","014",13,"Cµy xíi, lµm ®Êt",3,2800,8400,0,0,2500,300,1000,0,0,0,0,0,3800
"601","07","29","012",15,"DV kh¸c",2,3500,7000,0,0,1500,250,200,0,0,0,0,0,1950
"603","12","07","013",14,"Cµy xíi, lµm ®Êt",4,600,2400,0,100,0,0,750,0,0,0,0,0,850
"603","15","05","008",13,"Cµy xíi, lµm ®Êt",6,6000,36000,0,0,14900,900,500,0,0,0,0,0,16300
"603","21","01","020",15,"Cµy xíi, lµm ®Êt",6,5200,31200,1050,760,2650,120,795,0,0,0,0,0,5375
"603","21","27","003",13,"Tuèt lóa, s¬ chÕ SP",4,4200,16800,240,120,5520,60,880,0,0,200,0,0,7020
"605","07","03","005",19,"T­íi tiªu n­íc",1,800,800,0,25,200,20,80,0,0,0,0,0,325
"605","15","17","013",15,"Cµy xíi, lµm ®Êt",1,3000,3000,0,250,300,100,250,0,0,0,0,0,900
"605","19","05","007",15,"Cµy xíi, lµm ®Êt",2,1650,3300,0,0,1000,50,70,0,0,0,0,0,1120
"605","19","13","024",13,"Cµy xíi, lµm ®Êt",2,2500,5000,100,800,0,100,0,0,0,0,0,0,1000
"605","19","13","024",15,"Cµy xíi, lµm ®Êt",2,1000,2000,0,50,300,70,75,0,0,0,0,0,495
"605","19","31","002",13,"DV kh¸c",3,400,1200,0,50,0,0,0,0,0,0,0,0,50
"605","19","31","002",14,"DV kh¸c",4,900,3600,0,120,0,0,0,0,0,0,0,0,120
"605","23","07","027",13,"Cµy xíi, lµm ®Êt",1,1000,1000,0,0,220,30,100,0,0,0,0,0,350
